unit,landuse,geo\time	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 
KM2,L0008,CZ06	13726.5 	13727.0 	13726.0 	13722.4 	13721.8 	13720.3 	13718.4 	13717.6 	13716.9 	13715.6 	13715.0 	13715.0 
KM2,L0008,CZ07	9017.1 	9124.0 	9123.0 	9122.4 	9122.4 	9121.6 	9121.0 	9120.6 	9120.1 	9119.6 	9119.0 	9118.0 
KM2,L0008,CZ08	5421.7 	5314.0 	5314.0 	5312.7 	5312.7 	5312.3 	5312.6 	5312.1 	5312.3 	5311.7 	5312.0 	5311.0 
KM2,L0008,DK01	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2558.0 	2559.0 
KM2,L0008,DK02	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7223.0 	7223.0 
KM2,L0008,DK03	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12256.0 	12256.0 
KM2,L0008,DK04	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13005.0 	13006.0 
KM2,L0008,DK05	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7879.0 	7879.0 
KM2,L0008,EE00	43432.0 	43432.3 	43432.0 b	43432.0 	43432.0 	43432.0 	43432.0 	43432.0 	43432.0 	43432.0 	43432.0 	43432.0 
KM2,L0008,EL30	3806.0 	3806.0 	3806.0 	3806.0 	3806.0 	3806.0 	3806.0 	: 	: 	: 	: 	: 
KM2,L0008,EL41	3823.0 	3823.0 	3823.0 	3823.0 	3823.0 	3823.0 	3823.0 	: 	: 	: 	: 	: 
KM2,L0008,EL42	5286.0 	5286.0 	5286.0 	5286.0 	5286.0 	5286.0 	5286.0 	: 	: 	: 	: 	: 
KM2,L0008,EL43	8335.0 	8335.0 	8335.0 	8335.0 	8335.0 	8335.0 	8335.0 	: 	: 	: 	: 	: 
KM2,L0008,EL51	14064.0 	14064.0 	14064.0 	14064.0 	14064.0 	14064.0 	14064.0 	: 	: 	: 	: 	: 
KM2,L0008,EL52	18885.0 	18885.0 	18885.0 	18885.0 	18885.0 	18885.0 	18885.0 	: 	: 	: 	: 	: 
KM2,L0008,EL53	9258.0 	9258.0 	9258.0 	9258.0 	9258.0 	9258.0 	9258.0 	: 	: 	: 	: 	: 
KM2,L0008,EL54	9085.0 	9085.0 	9085.0 	9085.0 	9085.0 	9085.0 	9085.0 	: 	: 	: 	: 	: 
KM2,L0008,EL61	14003.0 	14003.0 	14003.0 	14003.0 	14003.0 	14003.0 	14003.0 	: 	: 	: 	: 	: 
KM2,L0008,EL62	2299.0 	2299.0 	2299.0 	2299.0 	2299.0 	2299.0 	2299.0 	: 	: 	: 	: 	: 
KM2,L0008,EL63	11067.0 	11067.0 	11067.0 	11067.0 	11067.0 	11067.0 	11067.0 	: 	: 	: 	: 	: 
KM2,L0008,EL64	15434.0 	15434.0 	15434.0 	15434.0 	15434.0 	15434.0 	15434.0 	: 	: 	: 	: 	: 
KM2,L0008,EL65	15475.0 	15475.0 	15475.0 	15475.0 	15475.0 	15475.0 	15475.0 	: 	: 	: 	: 	: 
KM2,L0008,ES11	: 	: 	: 	29346.6 	29346.6 	29346.6 	29346.6 	29346.6 	29346.6 	29346.6 	29356.0 	29356.0 
KM2,L0008,ES12	: 	: 	: 	10576.3 	10576.3 	10576.3 	10576.3 	10576.3 	10576.3 	10576.3 	10564.0 	10564.0 
KM2,L0008,ES13	: 	: 	: 	5261.1 	5261.1 	5261.1 	5261.1 	5261.1 	5261.1 	5261.1 	5264.0 	5264.0 
KM2,L0008,ES21	: 	: 	: 	7199.0 	7199.0 	7199.0 	7199.0 	7199.0 	7199.0 	7199.0 	7231.0 	7184.0 
KM2,L0008,ES22	: 	: 	: 	10350.5 	10350.5 	10350.5 	10350.5 	10350.5 	10350.5 	10350.5 	10341.0 	10341.0 
KM2,L0008,ES23	: 	: 	: 	5030.4 	5030.4 	5030.4 	5030.4 	5030.4 	5030.4 	5030.4 	5037.0 	5037.0 
KM2,L0008,ES24	: 	: 	: 	47453.7 	47453.7 	47453.7 	47453.7 	47453.7 	47453.7 	47453.7 	47426.0 	47426.0 
KM2,L0008,ES30	: 	: 	: 	7961.0 	7961.0 	7961.0 	7961.0 	7961.0 	7961.0 	7961.0 	7967.0 	7967.0 
KM2,L0008,ES41	: 	: 	: 	93691.7 	93691.7 	93691.7 	93691.7 	93691.7 	93691.7 	93691.7 	93727.0 	93727.0 
KM2,L0008,ES42	: 	: 	: 	78866.6 	78866.6 	78866.6 	78866.6 	78866.6 	78866.6 	78866.6 	79019.0 	79064.0 
KM2,L0008,ES43	: 	: 	: 	40701.9 	40701.9 	40701.9 	40701.9 	40701.9 	40701.9 	40701.9 	40836.0 	40813.0 
KM2,L0008,ES51	: 	: 	: 	31987.6 	31987.6 	31987.6 	31987.6 	31987.6 	31987.6 	31987.6 	31923.0 	31923.0 
KM2,L0008,ES52	: 	: 	: 	23049.4 	23049.4 	23049.4 	23049.4 	23049.4 	23049.4 	23049.4 	23141.0 	23141.0 
KM2,L0008,ES53	: 	: 	: 	4991.7 	4991.7 	4991.7 	4991.7 	4991.7 	4991.7 	4991.7 	4984.0 	4984.0 
KM2,L0008,ES61	: 	: 	: 	86519.6 	86519.6 	86519.6 	86519.6 	86519.6 	86519.6 	86519.6 	86730.0 	86730.0 
KM2,L0008,ES62	: 	: 	: 	11290.3 	11290.3 	11290.3 	11290.3 	11290.3 	11290.3 	11290.3 	11295.0 	11295.0 
KM2,L0008,ES63	: 	: 	: 	19.3 	19.3 	19.3 	19.3 	19.3 	19.3 	19.3 	19.0 	19.0 
KM2,L0008,ES64	: 	: 	: 	13.4 	13.4 	13.4 	13.4 	13.4 	13.4 	13.4 	13.0 	13.0 
KM2,L0008,ES70	: 	: 	: 	7447.0 	7447.0 	7447.0 	7447.0 	7447.0 	7447.0 	7447.0 	7442.0 	7441.0 
KM2,L0008,FI19	58276.2 	58276.9 	58303.6 	58304.2 	58303.7 	58303.6 	58303.3 	58300.3 	58301.2 	58302.8 	58303.0 	58305.0 
KM2,L0008,FI1B	9112.5 	9112.5 	9132.1 	9131.7 	9132.1 	9131.4 	9096.9 	9096.5 	9096.4 	9096.8 	9097.0 	9097.0 
KM2,L0008,FI1C	31683.9 	31683.9 	31716.9 	31714.3 	31714.2 	31715.1 	31749.5 	31747.0 	31745.7 	31745.4 	31462.0 	31463.0 
KM2,L0008,FI1D	203873.5 	203872.7 	203403.7 	203381.6 	203197.8 	203196.2 	203204.4 	203196.2 	203197.1 	203193.6 	203477.0 	203474.0 
KM2,L0008,FI20	1526.5 	1526.5 	1555.5 	1554.1 	1552.9 	1552.6 	1552.6 	1552.5 	1552.4 	1552.2 	1552.0 	1553.0 
