unit,age,sex,geo\time	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
NR,TOTAL,T,DEA4	2043212 	2031337 b	2027126 	2025415 	2024392 	2029648 	2057996 	2054205 	2054343 	2055310 	2055724 	2054178 
NR,TOTAL,T,DEA5	3676032 	3581355 b	3569424 	3559551 	3551553 	3557772 	3597297 	3586313 	3583590 	3582497 	3580568 	3571053 
NR,TOTAL,T,DEB1	1490711 	1486160 b	1480166 	1476237 	1474378 	1477202 	1488308 	1492187 	1493055 	1495885 	1498223 	1500830 
NR,TOTAL,T,DEB2	513794 	518554 b	518370 	518289 	519136 	521863 	532715 	528728 	529597 	531007 	533113 	534438 
NR,TOTAL,T,DEB3	2008170 	1989471 b	1991497 	1995752 	2000852 	2012517 	2031780 	2045138 	2051027 	2057952 	2062567 	2063123 
NR,TOTAL,T,DEC0	1022585 	1001879 b	997855 	994287 	990718 	989035 	995597 	996651 	994187 	990509 	986887 	983991 
NR,TOTAL,T,DED2	1631486 	1594568 b	1591710 	1591320 	1590927 	1592765 	1602754 	1600155 	1598573 	1598199 	1596566 	1589888 
NR,TOTAL,T,DED4	: 	1505254 b	1491442 	1480210 	1468954 	1463341 	1465612 	1454144 	1444953 	1436445 	1426380 	1413730 
NR,TOTAL,T,DED5	: 	966434 b	971030 	978674 	986504 	999168 	1016485 	1027484 	1037782 	1043293 	1049025 	1053323 
NR,TOTAL,T,DEE0	2356219 	2297386 b	2276736 	2259393 	2244577 	2235548 	2245470 	2236252 	2223081 	2208321 	2194782 	2180684 
NR,TOTAL,T,DEF0	2832027 	2800134 b	2802266 	2806531 	2815955 	2830864 	2858714 	2881926 	2889821 	2896712 	2903773 	2910875 
NR,TOTAL,T,DEG0	2249882 	2195344 b	2181603 	2170460 	2160840 	2156759 	2170714 	2158128 	2151205 	2143145 	2133378 	2120237 
NR,TOTAL,T,DK01	1680271 	1699387 	1714589 	1732068 	1749405 	1768125 	1789174 	1807404 	1822659 	1835562 	1846023 	1855084 
NR,TOTAL,T,DK02	820564 	819763 	817907 	816359 	816726 	820480 	827499 	832553 	835024 	836738 	837359 	838840 
NR,TOTAL,T,DK03	1200277 	1200656 	1201342 	1201419 	1202509 	1205728 	1211770 	1217224 	1220763 	1223348 	1223105 	1223634 
NR,TOTAL,T,DK04	1253998 	1260993 	1266682 	1272510 	1277538 	1282750 	1293309 	1304253 	1313596 	1320678 	1326340 	1332048 
NR,TOTAL,T,DK05	579628 	579829 	579996 	580272 	581057 	582632 	585499 	587335 	589148 	589755 	589936 	590439 
NR,TOTAL,T,EE00	1333290 	1329660 	1325217 	1320174 	1315819 	1314870 b	1315944 	1315635 	1319133 	1324820 	1328976 	1330068 
NR,TOTAL,T,EL30	4002871 	3992912 	3963887 	3912849 	3863763 	3822843 	3781274 	3773559 	3756453 	3742235 	3738901 	3736737 
NR,TOTAL,T,EL41	200179 	200831 	200591 	199478 	198581 	197695 	196654 	203700 	211137 	221098 	229516 	229155 
NR,TOTAL,T,EL42	332652 	333983 	334780 	334652 	334802 	334865 	334791 	338383 	340870 	344027 	347512 	347848 
NR,TOTAL,T,EL43	623113 	627144 	629367 	630085 	630889 	631513 	631812 	632674 	633506 	634930 	636504 	636766 
NR,TOTAL,T,EL51	610112 	611573 	612074 	610102 	608214 	606490 	604504 	602799 	601175 	599723 	598613 	594905 
NR,TOTAL,T,EL52	1921906 	1925437 	1922590 	1912624 	1903360 	1893878 	1883339 	1880122 	1875996 	1873777 	1872102 	1858755 
NR,TOTAL,T,EL53	286450 	285899 	284061 	281324 	278706 	276423 	273843 	271488 	269222 	267008 	264670 	262052 
NR,TOTAL,T,EL54	345960 	346503 	345437 	343128 	341046 	339142 	336834 	335250 	334337 	333696 	333265 	330985 
NR,TOTAL,T,EL61	746976 	747690 	745839 	741593 	737686 	733663 	729442 	725874 	722065 	718640 	715115 	709808 
NR,TOTAL,T,EL62	208675 	209221 	209131 	208241 	207664 	207059 	206141 	205431 	204562 	203869 	203149 	202371 
NR,TOTAL,T,EL63	692269 	690904 	687935 	682583 	677727 	673263 	668258 	663970 	659470 	655189 	651065 	646670 
NR,TOTAL,T,EL64	559655 	561693 	561670 	560093 	559214 	557753 	555830 	555761 	555623 	555960 	556002 	553235 
NR,TOTAL,T,EL65	588471 	589602 	589044 	586863 	585155 	583431 	581026 	579182 	576749 	574447 	572151 	569345 
NR,TOTAL,T,ES11	2772466 	2773411 	2771916 	2761989 	2747226 	2734656 	2720102 	2710216 	2703149 	2700441 	2702592 	2696876 
NR,TOTAL,T,ES12	1077102 	1075869 	1074308 	1067797 	1058975 	1049875 	1040925 	1034302 	1027624 	1022205 	1018899 	1012889 
NR,TOTAL,T,ES13	588512 	590867 	592383 	590036 	587682 	585359 	582504 	581490 	581294 	581641 	582388 	583655 
NR,TOTAL,T,ES21	2179521 	2183136 	2184696 	2177006 	2167166 	2165100 	2164066 	2167323 	2170868 	2177880 	2189138 	2185908 
NR,TOTAL,T,ES22	633023 	637100 	640014 	638948 	636450 	636402 	637486 	640353 	643866 	649946 	656509 	657654 
NR,TOTAL,T,ES23	319934 	320858 	320951 	318647 	315223 	313569 	312810 	312624 	312884 	313571 	315931 	316176 
NR,TOTAL,T,ES24	1344181 	1344385 	1343807 	1338316 	1331301 	1326403 	1318571 	1316072 	1313135 	1320586 	1330333 	1331133 
NR,TOTAL,T,ES30	6373546 	6394252 	6425522 	6414620 	6378297 	6385298 	6424275 	6476838 	6549520 	6641649 	6747068 	6755828 
NR,TOTAL,T,ES41	2547401 	2545301 	2537685 	2518560 	2495689 	2478079 	2454454 	2435951 	2418556 	2407733 	2401307 	2386649 
NR,TOTAL,T,ES42	2084468 	2099064 	2105935 	2094406 	2075197 	2062767 	2048900 	2040977 	2032595 	2034877 	2045554 	2048656 
NR,TOTAL,T,ES43	1099610 	1102299 	1104336 	1100970 	1096421 	1091623 	1084969 	1077525 	1070453 	1065424 	1061979 	1057999 
NR,TOTAL,T,ES51	7463488 	7493263 	7514991 	7480921 	7416237 	7396991 	7408290 	7441284 	7488718 	7566431 	7652348 	7671252 
NR,TOTAL,T,ES52	4989631 	4999192 	5009650 	4987011 	4956427 	4939674 	4932347 	4935182 	4946233 	4974969 	5029341 	5047045 
NR,TOTAL,T,ES53	1083679 	1091664 	1100715 	1110112 	1115841 	1124972 	1135527 	1150962 	1166923 	1188220 	1210725 	1219775 
NR,TOTAL,T,ES61	8276008 	8332080 	8377810 	8393175 	8388875 	8399618 	8403774 	8408976 	8410095 	8427405 	8478083 	8502216 
NR,TOTAL,T,ES62	1453543 	1459075 	1461925 	1461983 	1461803 	1463773 	1466474 	1472991 	1475569 	1487663 	1504869 	1513076 
NR,TOTAL,T,ES63	79294 	81621 	83845 	84539 	84674 	84692 	84652 	85034 	85209 	84829 	84085 	83517 
NR,TOTAL,T,ES64	76049 	78866 	81792 	83620 	83870 	84570 	84764 	84946 	84708 	84689 	84473 	84022 
NR,TOTAL,T,ES70	2045163 	2064871 	2085938 	2105234 	2114845 	2126144 	2135209 	2154978 	2177048 	2206901 	2236992 	2244369 
NR,TOTAL,T,FI19	1355168 	1360041 	1365259 	1370384 	1374403 	1377281 	1379116 	1380593 	1380365 	1379749 	1378652 	1378851 
NR,TOTAL,T,FI1B	1517542 	1532309 	1549058 	1566835 	1585473 	1603388 	1620261 	1638293 	1655624 	1671024 	1689725 	1702678 
NR,TOTAL,T,FI1C	1153839 	1156791 	1159039 	1160732 	1161882 	1161706 	1160491 	1159174 	1157001 	1152719 	1148794 	1147484 
NR,TOTAL,T,FI1D	1297144 	1298128 	1299557 	1300222 	1300846 	1300462 	1298457 	1296023 	1290651 	1284638 	1278237 	1274651 
NR,TOTAL,T,FI20	27734 	28007 	28354 	28501 	28666 	28916 	28983 	29214 	29489 	29789 	29884 	30129 
NR,TOTAL,T,FR10	11786234 	11852851 	11898502 	11959807 	12027565 	12082144 	12117132 	12174880 	12213447 	12252917 	12291557 	12348605 p
NR,TOTAL,T,FRB0	2548065 	2556835 	2563586 	2570548 	2577435 	2578592 	2577866 	2576252 	2572853 	2569510 	2565726 	2567768 p
NR,TOTAL,T,FRC1	1642115 	1642734 	1641130 	1642687 	1642551 	1641205 	1637941 	1632887 	1628737 	1623815 	1618321 	1615259 p
NR,TOTAL,T,FRC2	1171763 	1173440 	1175684 	1177096 	1178072 	1179735 	1180397 	1178536 	1179070 	1177762 	1176196 	1176550 p
NR,TOTAL,T,FRD1	1473494 	1475684 	1477209 	1478712 	1479378 	1479484 	1477349 	1474257 	1471632 	1467715 	1463606 	1463498 p
NR,TOTAL,T,FRD2	1836954 	1839393 	1845547 	1849652 	1856267 	1859647 	1858580 	1856221 	1855845 	1853117 	1849826 	1849900 p
NR,TOTAL,T,FRE1	4038157 	4042015 	4050756 	4060741 	4076061 	4077886 	4074448 	4072379 	4072977 	4066719 	4061166 	4067882 p
NR,TOTAL,T,FRE2	1914844 	1918155 	1922342 	1927142 	1930095 	1932090 	1932422 	1931436 	1931131 	1929189 	1926629 	1926546 p
NR,TOTAL,T,FRF1	1845687 	1852325 	1859869 	1868183 	1872949 	1879265 	1884150 	1889589 	1898533 	1903646 	1908494 	1918635 p
NR,TOTAL,T,FRF2	1335923 	1336053 	1339270 	1339008 	1339299 	1338255 	1333248 	1328134 	1323396 	1317548 	1311830 	1310320 p
NR,TOTAL,T,FRF3	2350920 	2350657 	2349816 	2345197 	2342397 	2341531 	2337788 	2331863 	2328460 	2322213 	2315678 	2317598 p
